age,gender,country,highest_deg,code_experience,current_title,industry,company_size,annual_comp
35-39,Man,India,Master’s degree,1-3 years,Currently not employed,,,
22-24,Man,Brazil,I prefer not to answer,< 1 years,,,,
25-29,Woman,United States of America,Master’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"1000-9,999 employees","10,000-14,999"
30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,20+ years,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,50-249 employees,"125,000-149,999"
35-39,Man,Canada,Bachelor’s degree,10-20 years,Data Scientist,,,
35-39,Man,Argentina,Master’s degree,1-3 years,,,,
35-39,Man,Brazil,Master’s degree,< 1 years,Currently not employed,,,
30-34,Man,Viet Nam,Doctoral degree,3-5 years,Research Scientist,Computers/Technology,"10,000 or more employees","1,000-1,999"
45-49,Man,Other,Master’s degree,10-20 years,,,,
22-24,Woman,India,Master’s degree,5-10 years,Data Scientist,Computers/Technology,50-249 employees,
25-29,Man,India,Master’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
40-44,Man,Brazil,Master’s degree,20+ years,Software Engineer,Computers/Technology,0-49 employees,"25,000-29,999"
40-44,Man,Ireland,Doctoral degree,10-20 years,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"10,000 or more employees","300,000-499,999"
50-54,Man,United Arab Emirates,Master’s degree,3-5 years,,,,
22-24,Man,India,Master’s degree,1-3 years,,,,
22-24,Man,India,Master’s degree,5-10 years,Machine Learning/ MLops Engineer,Computers/Technology,"1000-9,999 employees","15,000-19,999"
25-29,Woman,Netherlands,Professional doctorate,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Retail/Sales,0-49 employees,"4,000-4,999"
35-39,Man,India,Master’s degree,,,,,
40-44,Man,Viet Nam,I prefer not to answer,5-10 years,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"1000-9,999 employees","30,000-39,999"
22-24,Woman,India,Bachelor’s degree,3-5 years,,,,
30-34,Man,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Marketing/CRM,"1000-9,999 employees","10,000-14,999"
30-34,Man,Nigeria,Doctoral degree,< 1 years,,,,
22-24,Man,India,Master’s degree,3-5 years,Research Scientist,Manufacturing/Fabrication,"1000-9,999 employees","5,000-7,499"
25-29,Man,India,Master’s degree,I have never written code,,,,
30-34,Woman,Malaysia,Bachelor’s degree,< 1 years,Other,Shipping/Transportation,"10,000 or more employees","10,000-14,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Master’s degree,1-3 years,,,,
30-34,Man,Egypt,Master’s degree,1-3 years,Machine Learning/ MLops Engineer,Broadcasting/Communications,"10,000 or more employees","1,000-1,999"
22-24,Woman,Philippines,Bachelor’s degree,1-3 years,,,,
35-39,Man,United States of America,Master’s degree,5-10 years,Data Scientist,Computers/Technology,50-249 employees,"150,000-199,999"
22-24,Woman,Other,Master’s degree,5-10 years,,,,
25-29,Man,India,Master’s degree,< 1 years,,,,
30-34,Man,India,Bachelor’s degree,1-3 years,,,,
30-34,Woman,Nigeria,Some college/university study without earning a bachelor’s degree,< 1 years,Data Scientist,Computers/Technology,0-49 employees,"4,000-4,999"
25-29,Man,Indonesia,Bachelor’s degree,< 1 years,Currently not employed,,,
25-29,Man,United States of America,Doctoral degree,10-20 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
45-49,Man,United States of America,Bachelor’s degree,20+ years,,,,
30-34,Man,Nigeria,Bachelor’s degree,I have never written code,Other,Academics/Education,50-249 employees,$0-999
45-49,Man,United States of America,Professional doctorate,1-3 years,,,,
25-29,Man,Peru,Master’s degree,3-5 years,,,,
30-34,Man,Japan,Master’s degree,3-5 years,,,,
55-59,Man,Japan,Master’s degree,20+ years,Currently not employed,,,
25-29,Man,India,Doctoral degree,3-5 years,Data Scientist,Retail/Sales,250-999 employees,"5,000-7,499"
30-34,Man,Mexico,Bachelor’s degree,3-5 years,Currently not employed,,,
35-39,Man,Mexico,Master’s degree,< 1 years,Data Engineer,Medical/Pharmaceutical,"10,000 or more employees",$0-999
40-44,Man,India,Master’s degree,3-5 years,Teacher / professor,Academics/Education,50-249 employees,"2,000-2,999"
30-34,Man,United States of America,Doctoral degree,I have never written code,Currently not employed,,,
40-44,Man,South Korea,Master’s degree,3-5 years,Currently not employed,,,
30-34,Man,Argentina,No formal education past high school,< 1 years,Currently not employed,,,
18-21,Man,China,Master’s degree,1-3 years,,,,
40-44,Man,Ireland,No formal education past high school,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Other,"1000-9,999 employees","40,000-49,999"
25-29,Woman,Egypt,Master’s degree,I have never written code,Currently not employed,,,
25-29,Woman,India,Master’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,Pakistan,Bachelor’s degree,1-3 years,,,,
18-21,Man,United States of America,Bachelor’s degree,3-5 years,,,,
25-29,Man,United States of America,,,,,,
40-44,Man,Japan,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,"1000-9,999 employees","100,000-124,999"
22-24,Man,Peru,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,0-49 employees,$0-999
35-39,Man,India,Bachelor’s degree,10-20 years,"Manager (Program, Project, Operations, Executive-level, etc)",Computers/Technology,"1000-9,999 employees","30,000-39,999"
22-24,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Master’s degree,1-3 years,Software Engineer,Online Service/Internet-based Services,"10,000 or more employees","5,000-7,499"
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
35-39,Man,India,Master’s degree,< 1 years,"Manager (Program, Project, Operations, Executive-level, etc)",Manufacturing/Fabrication,"1000-9,999 employees","3,000-3,999"
30-34,Man,United States of America,Doctoral degree,< 1 years,,,,
60-69,Man,United States of America,Bachelor’s degree,20+ years,Software Engineer,Accounting/Finance,"10,000 or more employees","125,000-149,999"
30-34,Woman,Other,Doctoral degree,I have never written code,,,,
22-24,Man,Russia,Bachelor’s degree,1-3 years,,,,
45-49,Man,Other,I prefer not to answer,< 1 years,,,,
30-34,Man,Indonesia,I prefer not to answer,< 1 years,,,,
22-24,Man,Argentina,Master’s degree,3-5 years,,,,
35-39,Woman,India,I prefer not to answer,10-20 years,Currently not employed,,,
40-44,Man,India,Master’s degree,3-5 years,,,,
50-54,Man,Poland,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"10,000 or more employees","70,000-79,999"
30-34,Man,Morocco,Master’s degree,< 1 years,,,,
18-21,Woman,India,I prefer not to answer,1-3 years,,,,
25-29,Woman,India,Bachelor’s degree,3-5 years,Research Scientist,Computers/Technology,250-999 employees,"20,000-24,999"
35-39,Man,United States of America,Master’s degree,1-3 years,,,,
22-24,Man,Egypt,Bachelor’s degree,< 1 years,,,,
30-34,Man,Brazil,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
30-34,Man,India,Master’s degree,< 1 years,,,,
30-34,Man,Nigeria,Doctoral degree,3-5 years,,,,
18-21,Woman,India,Master’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
25-29,Man,India,Bachelor’s degree,3-5 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Woman,Netherlands,Master’s degree,3-5 years,,,,
25-29,Man,Morocco,Master’s degree,3-5 years,Data Engineer,Government/Public Service,0-49 employees,$0-999
25-29,Man,India,Master’s degree,1-3 years,,,,
40-44,Man,India,Master’s degree,10-20 years,Data Scientist,Accounting/Finance,"10,000 or more employees","30,000-39,999"
30-34,Man,Italy,Doctoral degree,5-10 years,Data Scientist,Accounting/Finance,0-49 employees,"50,000-59,999"
45-49,Man,India,Master’s degree,20+ years,Data Scientist,Computers/Technology,0-49 employees,"20,000-24,999"
22-24,Woman,Viet Nam,Master’s degree,< 1 years,,,,
18-21,Man,India,Master’s degree,3-5 years,,,,
35-39,Man,Argentina,Bachelor’s degree,I have never written code,,,,
40-44,Man,India,Doctoral degree,10-20 years,Teacher / professor,Academics/Education,0-49 employees,
25-29,Man,India,Master’s degree,3-5 years,Data Scientist,Other,"10,000 or more employees","30,000-39,999"
25-29,Man,United States of America,Master’s degree,1-3 years,,,,
50-54,Man,Chile,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
25-29,Man,Kenya,Master’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
30-34,Woman,Tunisia,Doctoral degree,1-3 years,,,,
30-34,Woman,India,I prefer not to answer,I have never written code,Currently not employed,,,
22-24,Man,India,Master’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,250-999 employees,"15,000-19,999"
18-21,Woman,India,Master’s degree,< 1 years,,,,
70+,Man,India,Master’s degree,< 1 years,,,,
22-24,Man,India,Master’s degree,1-3 years,Statistician,Insurance/Risk Assessment,0-49 employees,
30-34,Woman,United States of America,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,"10,000 or more employees","90,000-99,999"
22-24,Woman,Turkey,Master’s degree,3-5 years,Data Scientist,Computers/Technology,"10,000 or more employees",$0-999
30-34,Man,United States of America,Bachelor’s degree,3-5 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"10,000 or more employees","100,000-124,999"
18-21,Woman,India,I prefer not to answer,1-3 years,,,,
25-29,Man,Portugal,Master’s degree,5-10 years,Machine Learning/ MLops Engineer,Computers/Technology,50-249 employees,"40,000-49,999"
25-29,Woman,India,Master’s degree,1-3 years,,,,
30-34,Man,Other,Bachelor’s degree,< 1 years,Other,Accounting/Finance,250-999 employees,"10,000-14,999"
18-21,Man,United States of America,Bachelor’s degree,1-3 years,,,,
18-21,Man,Brazil,Master’s degree,1-3 years,,,,
35-39,Man,United States of America,Master’s degree,10-20 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Accounting/Finance,50-249 employees,"60,000-69,999"
25-29,Man,Brazil,Master’s degree,1-3 years,Data Scientist,,,
25-29,Man,India,I prefer not to answer,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Non-profit/Service,"1000-9,999 employees","4,000-4,999"
60-69,Man,United States of America,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"10,000 or more employees","40,000-49,999"
22-24,Man,India,Master’s degree,< 1 years,Machine Learning/ MLops Engineer,Computers/Technology,"10,000 or more employees","2,000-2,999"
25-29,Man,United States of America,I prefer not to answer,< 1 years,,,,
25-29,Man,United States of America,Bachelor’s degree,5-10 years,Other,Computers/Technology,"1000-9,999 employees","50,000-59,999"
30-34,Man,Russia,I prefer not to answer,< 1 years,Data Scientist,Computers/Technology,250-999 employees,"4,000-4,999"
35-39,Woman,Brazil,Doctoral degree,1-3 years,,,,
25-29,Woman,Other,Doctoral degree,5-10 years,Research Scientist,Medical/Pharmaceutical,"10,000 or more employees","90,000-99,999"
22-24,Man,Viet Nam,I prefer not to answer,1-3 years,,,,
18-21,Woman,India,Bachelor’s degree,1-3 years,,,,
30-34,Man,United States of America,Master’s degree,1-3 years,Research Scientist,Academics/Education,0-49 employees,"40,000-49,999"
22-24,Prefer to self-describe,Germany,No formal education past high school,1-3 years,,,,
22-24,Man,India,Master’s degree,< 1 years,,,,
22-24,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Woman,United States of America,Master’s degree,< 1 years,,,,
35-39,Man,Other,Bachelor’s degree,5-10 years,,,,
30-34,Man,Brazil,Doctoral degree,I have never written code,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
25-29,Man,India,I prefer not to answer,< 1 years,,,,
40-44,Woman,Russia,Master’s degree,1-3 years,,,,
25-29,Man,Bangladesh,Bachelor’s degree,1-3 years,,,,
35-39,Man,Other,Some college/university study without earning a bachelor’s degree,5-10 years,Data Architect,Computers/Technology,0-49 employees,"10,000-14,999"
45-49,Man,India,,,,,,
30-34,Man,United States of America,Master’s degree,10-20 years,Data Scientist,Government/Public Service,"1000-9,999 employees","125,000-149,999"
50-54,Man,France,Master’s degree,20+ years,Data Scientist,Computers/Technology,"10,000 or more employees","100,000-124,999"
35-39,Man,Nigeria,Master’s degree,< 1 years,Teacher / professor,Academics/Education,50-249 employees,"1,000-1,999"
25-29,Man,France,Master’s degree,1-3 years,Data Scientist,Non-profit/Service,"1000-9,999 employees","40,000-49,999"
18-21,Woman,India,Bachelor’s degree,3-5 years,,,,
30-34,Man,India,Professional doctorate,5-10 years,Data Scientist,Computers/Technology,"10,000 or more employees","20,000-24,999"
25-29,Man,India,Bachelor’s degree,1-3 years,Software Engineer,Other,250-999 employees,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
22-24,Woman,India,Bachelor’s degree,< 1 years,,,,
22-24,Woman,India,Master’s degree,1-3 years,,,,
35-39,Man,United States of America,Doctoral degree,10-20 years,Data Scientist,Retail/Sales,"10,000 or more employees","150,000-199,999"
35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,I have never written code,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
45-49,Man,Portugal,Doctoral degree,1-3 years,,,,
25-29,Man,India,Master’s degree,I have never written code,Other,Government/Public Service,"1000-9,999 employees","5,000-7,499"
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
30-34,Man,Other,Some college/university study without earning a bachelor’s degree,I have never written code,Data Scientist,Non-profit/Service,0-49 employees,"30,000-39,999"
22-24,Man,India,Bachelor’s degree,5-10 years,,,,
55-59,Man,Ireland,Bachelor’s degree,20+ years,Data Scientist,Online Service/Internet-based Services,50-249 employees,"100,000-124,999"
25-29,Man,China,Doctoral degree,1-3 years,Machine Learning/ MLops Engineer,Medical/Pharmaceutical,250-999 employees,
35-39,Man,Other,Bachelor’s degree,1-3 years,Other,Government/Public Service,"1000-9,999 employees","50,000-59,999"
22-24,Man,Russia,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,No formal education past high school,I have never written code,Currently not employed,,,
25-29,Woman,United States of America,Master’s degree,3-5 years,Data Scientist,Energy/Mining,"1000-9,999 employees","90,000-99,999"
40-44,Man,Japan,I prefer not to answer,< 1 years,Research Scientist,Manufacturing/Fabrication,50-249 employees,"40,000-49,999"
25-29,Man,South Korea,Master’s degree,1-3 years,Research Scientist,Manufacturing/Fabrication,50-249 employees,"40,000-49,999"
35-39,Man,Viet Nam,Master’s degree,< 1 years,Currently not employed,,,
30-34,Man,India,No formal education past high school,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,50-249 employees,"30,000-39,999"
25-29,Man,Japan,Master’s degree,3-5 years,Currently not employed,,,
25-29,Man,India,Master’s degree,< 1 years,Software Engineer,Retail/Sales,"1000-9,999 employees","5,000-7,499"
40-44,Man,Other,Bachelor’s degree,I have never written code,"Manager (Program, Project, Operations, Executive-level, etc)",Accounting/Finance,250-999 employees,"50,000-59,999"
40-44,Man,Thailand,Doctoral degree,10-20 years,,,,
30-34,Man,India,Master’s degree,20+ years,Data Scientist,Marketing/CRM,"10,000 or more employees","4,000-4,999"
40-44,Man,Malaysia,Master’s degree,1-3 years,,,,
55-59,Man,Spain,Bachelor’s degree,20+ years,Software Engineer,Accounting/Finance,0-49 employees,"70,000-79,999"
22-24,Man,Bangladesh,Bachelor’s degree,1-3 years,,,,
25-29,Man,Ecuador,Master’s degree,< 1 years,,,,
25-29,Man,India,Doctoral degree,1-3 years,,,,
25-29,Woman,South Korea,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,Bachelor’s degree,< 1 years,Data Scientist,Non-profit/Service,0-49 employees,$0-999
30-34,Man,Nigeria,Bachelor’s degree,< 1 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Computers/Technology,50-249 employees,"60,000-69,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
25-29,Woman,Mexico,Bachelor’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Medical/Pharmaceutical,"10,000 or more employees","15,000-19,999"
30-34,Woman,India,Doctoral degree,I have never written code,,,,
35-39,Man,Japan,Doctoral degree,10-20 years,,,,
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
22-24,Man,United States of America,Master’s degree,3-5 years,,,,
25-29,Woman,Nepal,Doctoral degree,3-5 years,,,,
22-24,Woman,Indonesia,Master’s degree,1-3 years,,,,
40-44,Man,United States of America,Master’s degree,< 1 years,Research Scientist,Academics/Education,50-249 employees,"30,000-39,999"
25-29,Man,Hong Kong (S.A.R.),Master’s degree,3-5 years,Research Scientist,Academics/Education,"1000-9,999 employees","30,000-39,999"
45-49,Man,United States of America,Master’s degree,20+ years,Software Engineer,Online Service/Internet-based Services,"1000-9,999 employees","150,000-199,999"
25-29,Prefer not to say,India,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
22-24,Woman,Tunisia,Master’s degree,< 1 years,,,,
22-24,Man,Nigeria,Bachelor’s degree,3-5 years,,,,
40-44,Man,United States of America,Some college/university study without earning a bachelor’s degree,< 1 years,Currently not employed,,,
40-44,Man,Other,Doctoral degree,< 1 years,,,,
25-29,Man,India,Master’s degree,< 1 years,,,,
35-39,Man,South Africa,Bachelor’s degree,I have never written code,Other,Accounting/Finance,0-49 employees,"50,000-59,999"
25-29,Man,India,Master’s degree,3-5 years,Data Scientist,Computers/Technology,0-49 employees,"15,000-19,999"
40-44,Woman,India,Professional doctorate,20+ years,Teacher / professor,Academics/Education,"1000-9,999 employees","10,000-14,999"
25-29,Man,India,Master’s degree,< 1 years,Currently not employed,,,
55-59,Man,India,Master’s degree,5-10 years,Currently not employed,,,
30-34,Woman,United States of America,Doctoral degree,I have never written code,Teacher / professor,,,
25-29,Man,United States of America,Master’s degree,< 1 years,,,,
22-24,Man,Australia,Master’s degree,< 1 years,,,,
25-29,Man,United States of America,Master’s degree,5-10 years,Engineer (non-software),Non-profit/Service,"10,000 or more employees","20,000-24,999"
40-44,Man,Taiwan,Professional doctorate,3-5 years,Teacher / professor,Academics/Education,"1000-9,999 employees","70,000-79,999"
18-21,Man,United States of America,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,I prefer not to answer,1-3 years,Software Engineer,Computers/Technology,250-999 employees,$0-999
25-29,Man,China,Master’s degree,1-3 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
25-29,Man,South Korea,Bachelor’s degree,1-3 years,Currently not employed,,,
35-39,Man,Turkey,Professional doctorate,3-5 years,Teacher / professor,Computers/Technology,50-249 employees,"2,000-2,999"
18-21,Man,India,Bachelor’s degree,I have never written code,,,,
30-34,Man,Netherlands,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Online Service/Internet-based Services,"10,000 or more employees","80,000-89,999"
18-21,Man,India,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
18-21,Woman,United States of America,Bachelor’s degree,3-5 years,,,,
18-21,Woman,India,Master’s degree,1-3 years,,,,
50-54,Man,Portugal,Bachelor’s degree,20+ years,Other,Other,50-249 employees,"40,000-49,999"
30-34,Man,India,Master’s degree,I have never written code,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Manufacturing/Fabrication,"10,000 or more employees","20,000-24,999"
18-21,Man,India,Master’s degree,< 1 years,,,,
18-21,Man,Russia,Bachelor’s degree,3-5 years,,,,
30-34,Prefer not to say,United States of America,Master’s degree,10-20 years,Machine Learning/ MLops Engineer,Medical/Pharmaceutical,0-49 employees,"150,000-199,999"
55-59,Man,Japan,I prefer not to answer,20+ years,Software Engineer,Manufacturing/Fabrication,"1000-9,999 employees",
50-54,Man,Australia,Doctoral degree,20+ years,Data Scientist,Government/Public Service,0-49 employees,
55-59,Man,United States of America,Bachelor’s degree,I have never written code,Other,Other,50-249 employees,"90,000-99,999"
22-24,Man,Other,Master’s degree,1-3 years,Machine Learning/ MLops Engineer,Computers/Technology,0-49 employees,"5,000-7,499"
22-24,Man,Sri Lanka,Master’s degree,< 1 years,,,,
25-29,Man,Nigeria,Bachelor’s degree,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Insurance/Risk Assessment,0-49 employees,"1,000-1,999"
25-29,Woman,India,Master’s degree,10-20 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,3-5 years,,,,
25-29,Man,India,Master’s degree,< 1 years,Currently not employed,,,
35-39,Man,India,I prefer not to answer,1-3 years,,,,
18-21,Prefer not to say,India,Bachelor’s degree,1-3 years,,,,
45-49,Man,China,Some college/university study without earning a bachelor’s degree,I have never written code,Engineer (non-software),Government/Public Service,250-999 employees,"1,000-1,999"
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
22-24,Woman,I do not wish to disclose my location,No formal education past high school,< 1 years,,,,
30-34,Man,Other,I prefer not to answer,5-10 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Shipping/Transportation,50-249 employees,$0-999
18-21,Man,India,Some college/university study without earning a bachelor’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
35-39,Man,Canada,Master’s degree,5-10 years,Data Scientist,Government/Public Service,250-999 employees,"50,000-59,999"
55-59,Woman,Singapore,Master’s degree,20+ years,,,,
18-21,Man,Other,I prefer not to answer,< 1 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
40-44,Man,India,Doctoral degree,5-10 years,Software Engineer,Computers/Technology,"10,000 or more employees",$0-999
35-39,Man,South Africa,No formal education past high school,< 1 years,,,,
45-49,Man,Other,Doctoral degree,20+ years,Software Engineer,Broadcasting/Communications,"10,000 or more employees",
30-34,Man,India,Bachelor’s degree,1-3 years,,,,
60-69,Man,Japan,I prefer not to answer,10-20 years,Data Scientist,Manufacturing/Fabrication,"1000-9,999 employees",
35-39,Man,India,Master’s degree,10-20 years,Data Scientist,Computers/Technology,"1000-9,999 employees","70,000-79,999"
50-54,Man,Belgium,Master’s degree,20+ years,,,,
22-24,Man,India,Master’s degree,< 1 years,Currently not employed,,,
45-49,Man,Chile,Doctoral degree,10-20 years,Research Scientist,Academics/Education,50-249 employees,"25,000-29,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
30-34,Man,Egypt,Master’s degree,< 1 years,Engineer (non-software),Government/Public Service,"1000-9,999 employees","5,000-7,499"
35-39,Man,Japan,Master’s degree,10-20 years,,,,
40-44,Man,Other,Some college/university study without earning a bachelor’s degree,3-5 years,,,,
22-24,Man,India,Bachelor’s degree,3-5 years,,,,
18-21,Man,India,I prefer not to answer,1-3 years,,,,
25-29,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,Master’s degree,5-10 years,Machine Learning/ MLops Engineer,Medical/Pharmaceutical,"10,000 or more employees","20,000-24,999"
35-39,Prefer not to say,Australia,Doctoral degree,3-5 years,Data Scientist,Computers/Technology,"1000-9,999 employees","90,000-99,999"
22-24,Man,Ghana,Master’s degree,I have never written code,,,,
22-24,Man,India,Master’s degree,< 1 years,,,,
18-21,Woman,India,Master’s degree,3-5 years,,,,
40-44,Nonbinary,United Kingdom of Great Britain and Northern Ireland,Master’s degree,1-3 years,"Data Analyst (Business, Marketing, Financial, Quantitative, etc)",Government/Public Service,"1000-9,999 employees","30,000-39,999"
25-29,Man,India,Bachelor’s degree,I have never written code,Engineer (non-software),Computers/Technology,"10,000 or more employees",$0-999
50-54,Man,India,Bachelor’s degree,1-3 years,Other,Manufacturing/Fabrication,0-49 employees,"7,500-9,999"
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
55-59,Man,Mexico,Master’s degree,20+ years,Teacher / professor,Academics/Education,50-249 employees,"1,000-1,999"
60-69,Man,Netherlands,Bachelor’s degree,20+ years,Teacher / professor,Academics/Education,50-249 employees,"70,000-79,999"
60-69,Man,India,Doctoral degree,20+ years,Teacher / professor,Computers/Technology,0-49 employees,"250,000-299,999"
18-21,Man,Pakistan,Bachelor’s degree,< 1 years,,,,
22-24,Woman,India,Master’s degree,1-3 years,,,,
30-34,Woman,Viet Nam,I prefer not to answer,< 1 years,,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
22-24,Man,Pakistan,Master’s degree,1-3 years,,,,
18-21,Man,India,Master’s degree,1-3 years,,,,
22-24,Man,India,Master’s degree,< 1 years,,,,
40-44,Man,South Africa,Bachelor’s degree,< 1 years,Data Administrator,Government/Public Service,250-999 employees,"50,000-59,999"
18-21,Woman,India,I prefer not to answer,< 1 years,,,,
45-49,Man,Japan,Doctoral degree,5-10 years,"Manager (Program, Project, Operations, Executive-level, etc)",Other,250-999 employees,
22-24,Man,Pakistan,Master’s degree,1-3 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,India,I prefer not to answer,1-3 years,,,,
30-34,Man,Zimbabwe,Bachelor’s degree,10-20 years,Engineer (non-software),Online Service/Internet-based Services,250-999 employees,"3,000-3,999"
18-21,Man,Pakistan,Bachelor’s degree,< 1 years,,,,
18-21,Woman,India,Master’s degree,< 1 years,,,,
25-29,Man,Bangladesh,Master’s degree,1-3 years,,,,
40-44,Man,United States of America,Professional doctorate,< 1 years,Currently not employed,,,
40-44,Man,Nigeria,Master’s degree,1-3 years,,,,
25-29,Man,South Korea,Master’s degree,3-5 years,,,,
22-24,Man,Pakistan,Master’s degree,5-10 years,,,,
22-24,Man,Indonesia,Master’s degree,3-5 years,Data Scientist,Computers/Technology,50-249 employees,"10,000-14,999"
25-29,Woman,India,Master’s degree,< 1 years,Data Scientist,Academics/Education,0-49 employees,
30-34,Man,Russia,No formal education past high school,1-3 years,Machine Learning/ MLops Engineer,Retail/Sales,"10,000 or more employees","15,000-19,999"
22-24,Man,India,Bachelor’s degree,3-5 years,,,,
45-49,Man,United States of America,Doctoral degree,1-3 years,Other,Accounting/Finance,"10,000 or more employees","125,000-149,999"
22-24,Man,India,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
30-34,Man,Pakistan,Doctoral degree,3-5 years,Currently not employed,,,
18-21,Woman,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,< 1 years,,,,
18-21,Man,India,Bachelor’s degree,1-3 years,,,,
25-29,Man,Viet Nam,Professional doctorate,3-5 years,,,,
45-49,Man,Saudi Arabia,Master’s degree,10-20 years,Software Engineer,Computers/Technology,"1000-9,999 employees","100,000-124,999"
25-29,Man,South Africa,Doctoral degree,10-20 years,,,,
22-24,Man,India,Master’s degree,1-3 years,,,,
55-59,Man,Spain,Doctoral degree,20+ years,Data Scientist,Academics/Education,0-49 employees,"60,000-69,999"
25-29,Man,Germany,Master’s degree,5-10 years,,,,
40-44,Man,Other,Some college/university study without earning a bachelor’s degree,1-3 years,Software Engineer,Online Service/Internet-based Services,"1000-9,999 employees",$0-999
18-21,Man,Peru,Some college/university study without earning a bachelor’s degree,< 1 years,,,,
40-44,Man,Argentina,Some college/university study without earning a bachelor’s degree,< 1 years,Engineer (non-software),Manufacturing/Fabrication,250-999 employees,"2,000-2,999"
25-29,Man,Bangladesh,Master’s degree,1-3 years,"Manager (Program, Project, Operations, Executive-level, etc)",Energy/Mining,0-49 employees,"7,500-9,999"
30-34,Woman,Portugal,Master’s degree,< 1 years,Engineer (non-software),Manufacturing/Fabrication,250-999 employees,"15,000-19,999"
18-21,Man,Egypt,Master’s degree,1-3 years,,,,
